GRB,z,NH(z),Γ,NH(Gal),Time-interval,Obs. mode,,,Γnew,Nnew(z),Nnew(Gal)
100621A,0.542,,2.67 ± 0.09,2.89,130−200,WT(0.1),,3.19,2.68 ± 0.09,23.8,
100728B,2.106,,1.98 ± 0.19,6.17,4000−3 × 104,PC(8.5),,7.93,1.99 ± 0.19,7.1,
110205A,2.22,,2.02 ± 0.11,1.61,5000−5 × 104,PC(18.8),,1.7,2.02 ± 0.11,5.5,
110503A,1.613,,1.71 ± 0.05,2.63,200−700,WT(0.5),,2.84,1.71 ± 0.05,1.51,
110709A,−,,1.92 ± 0.12,1.54,600−9000,PC(3.9),,1.61,1.93 ± 0.13,>10.7,
110709B,<4,,2.04 ± 0.06,5.58,104−2 × 105,PC(45.6),,6.91,2.04 ± 0.06,>1.37,
110915A,−,,1.90 ± 0.25,1.61,5000−8000,PC(1.5),,6.67,1.90 ± 0.25,>1.95,
111008A,4.99,,1.81 ± 0.10,0.98,5000−3 × 104,PC(4.8),,0.992,1.81 ± 0.10,20.0,
111228A,0.714,,2.05 ± 0.09,2.96,4000−2 × 106,PC(144.8),,3.25,2.05 ± 0.08,6.4,
120102A,−,,1.91 ± 0.08,10.3,4000−7 × 104,PC(18.1),,14.7,1.91 ± 0.08,>1.98,
120116A,−,,1.94 ± 0.23,4.64,300−6000,PC(1.5),,5.53,1.94 ± 0.23,>1.24,
120119A,1.728,,1.65 ± 0.13,7.91,7000−2 × 105,PC(18.9),,11.3,1.67 ± 0.13,24.0,
120326A,1.798,,1.79 ± 0.06,5.24,4000−105,PC(21.4),,6.26,1.80 ± 0.06,6.2,
120703A,−,,1.82 ± 0.14,1.21,3000−5 × 104,PC(9.8),,1.27,1.78 ± 0.13,>1.58,
120729A,0.8,,1.68 ± 0.13,14.2,300−7000,PC(2.8),,21.5,1.70 ± 0.13,<1.1,
120802A,3.796,,1.83 ± 0.17,9.65,100−1.5 × 104,PC(5.1),,14.6,1.87 ± 0.17,>5.5,
120811C,2.671,,1.58 ± 0.15,2.09,200−1100,PC(0.9),,2.23,1.58 ± 0.15,<5.4,
120907A,0.97,,1.81 ± 0.13,5.35,280−8000,PC(3.2),,7.26,1.82 ± 0.13,3.4,
121123A,2.7,,1.82 ± 0.10,4.01,4500−42000,PC(14.9),,,1.82 ± 0.10,7.37,
121125A,−,,2.04 ± 0.12,1.27,4000−3.5 × 104,PC(13.2),,1.32,2.04 ± 0.12,>1.15,
121209A,2.1,,1.79 ± 0.25,3.81,5000−7000,PC(1.4),,4.4,1.79 ± 0.25,111.0,
130420A,1.297,,2.16 ± 0.10,1.26,1000−2 × 105,PC(35.5),,1.3,2.16 ± 0.10,4.6,
130427A,0.34,,1.68 ± 0.04,1.8,2 × 104−2.5 × 106,PC(165.0),,1.91,1.68 ± 0.04,1.06,
130427B,2.78,,1.71 ± 0.19,4.4,200−2 × 104,PC(5.3),,5.35,1.71 ± 0.19,<5.4,
130502A,−,,2.05 ± 0.30,2.49,100−104,PC(1.7),,2.73,2.05 ± 0.30,>1.79,
130505A,2.27,,1.77 ± 0.05,3.59,3000−105,PC(16.3),,4.03,1.77 ± 0.05,8.6,
130527A,−,,1.46 ± 0.17,3.73,450−2000,PC(1.2),,4.34,1.46 ± 0.17,>1.32,
130606A,5.913,,1.87 ± 0.13,1.98,5000−6 × 104,PC(16.5),,2.14,1.87 ± 0.13,<15.0,
130609B,−,,1.87 ± 0.12,1.45,5000−8000,PC(2.4),,1.51,1.87 ± 0.12,>1.30,
130701A,1.155,,1.77 ± 0.14,6.93,1850−3.5 × 104,PC(6.6),,9.2,1.78 ± 0.14,<1.6,
130803A,−,,2.67 ± 0.31,4.15,4000−6 × 104,PC(11.3),,5.12,2.68 ± 0.31,>14.0,
130831A,0.479,,1.74 ± 0.14,4.8,11 000−1.2 × 105,PC(11.5),,5.74,1.71 ± 0.14,<0.51,
130907A,1.238,,1.82 ± 0.04,0.997,7000−1.5 × 105,PC(37.3),,1.03,1.82 ± 0.04,10.84,
131030A,1.293,,1.92 ± 0.10,4.7,4000−90 000,PC(9.6),,5.62,1.92 ± 0.10,4.0,
131105A,1.686,,1.83 ± 0.21,2.91,350−1100,PC(0.8),,3.25,1.83 ± 0.21,16.0,
140102A,−,,1.77 ± 0.07,2.71,950−2300,WT(1.3),,3.04,1.77 ± 0.07,>0.68,
140206A,2.73,,1.81 ± 0.06,4.79,104 − 105,PC(22.7),,6.99,1.83 ± 0.06,16.4,
140215A,−,,1.65 ± 0.23,9.71,300−700,PC(0.4),,13.1,1.65 ± 0.23,>1.08,
140419A,3.956,,1.83 ± 0.07,3.53,1500−20 000,PC(7.8),,3.93,1.84 ± 0.07,15.1,
140506A,0.889,,1.77 ± 0.08,7.67,5000−105,PC(18.9),,10.6,1.78 ± 0.08,7.7,
140512A,0.725,,1.81 ± 0.06,9.43,4500−7 × 104,PC(15.0),,14.7,1.83 ± 0.06,1.80,
140619A,−,,2.09 ± 0.15,1.58,1700−25 000,PC(6.2),,1.65,2.09 ± 0.15,>2.25,
140628A,−,,1.86 ± 0.20,2.92,750−2.2 × 104,PC(6.9),,3.22,1.86 ± 0.20,>0.47,
140629A,2.275,,1.92 ± 0.12,0.909,4000−1.5 × 104,PC(5.1),,0.932,1.91 ± 0.12,5.5,
140703A,3.14,,1.80 ± 0.09,9.36,3800−7 × 104,PC(11.9),,12.8,1.82 ± 0.09,<6.0,
