#  wl flux error bpmap
3.366985e+03 -2.824996e-18 2.132514e-18   0.000000
3.367585e+03 2.164031e-18 2.303232e-18   0.000000
3.368185e+03 6.609421e-18 2.667363e-18   0.000000
3.368785e+03 5.153865e-18 2.923718e-18   0.000000
3.369385e+03 3.837703e-18 2.981120e-18   0.000000
3.369985e+03 3.393279e-18 2.930934e-18   0.000000
3.370585e+03 1.612018e-18 2.631315e-18   0.000000
3.371185e+03 -8.284847e-19 3.005570e-18   0.000000
3.371786e+03 2.037795e-18 2.685981e-18   0.000000
3.372386e+03 3.956399e-19 2.459286e-18   0.000000
3.372986e+03 2.631100e-18 2.904082e-18   0.000000
3.373586e+03        nan        nan   0.000000
3.374186e+03 3.274608e-18 2.387370e-18   0.000000
3.374786e+03 4.627753e-19 2.265888e-18   0.000000
3.375386e+03 6.185242e-18 2.811075e-18   0.000000
3.375986e+03 1.501507e-18 2.605902e-18   0.000000
3.376586e+03 2.403202e-18 2.279225e-18   0.000000
3.377187e+03 4.450499e-18 2.354282e-18   0.000000
3.377787e+03 1.921244e-18 2.239842e-18   0.000000
3.378387e+03 3.360347e-18 2.720640e-18   0.000000
3.378987e+03 1.718040e-18 2.406936e-18   0.000000
3.379587e+03 3.094135e-18 2.045676e-18   0.000000
3.380187e+03 2.332594e-18 2.202810e-18   0.000000
3.380787e+03 9.107770e-20 2.135150e-18   0.000000
3.381387e+03 1.398454e-18 2.237153e-18   0.000000
3.381988e+03 3.058057e-18 2.518066e-18   0.000000
3.382588e+03 2.107363e-18 2.264859e-18   0.000000
3.383188e+03 5.460068e-18 2.005223e-18   0.000000
3.383788e+03 4.109673e-19 2.037889e-18   0.000000
3.384388e+03 3.741278e-18 2.129687e-18   0.000000
3.384988e+03 4.169336e-19 2.043016e-18   0.000000
3.385588e+03 -2.131494e-18 2.307473e-18   0.000000
3.386188e+03 1.575166e-18 2.242049e-18   0.000000
3.386789e+03 2.264916e-18 2.077955e-18   0.000000
3.387389e+03 1.548540e-18 1.977956e-18   0.000000
3.387989e+03 -4.923001e-19 1.942569e-18   0.000000
3.388589e+03 -2.741377e-19 1.911000e-18   0.000000
3.389189e+03 9.118908e-19 1.977874e-18   0.000000
3.389789e+03 4.647253e-18 2.172048e-18   0.000000
3.390389e+03 3.421947e-18 2.072393e-18   0.000000
3.390989e+03 1.941532e-18 1.948241e-18   0.000000
3.391589e+03 -2.135976e-18 1.967083e-18   0.000000
3.392190e+03 9.010789e-19 1.979193e-18   0.000000
3.392790e+03 2.208005e-18 1.934164e-18   0.000000
3.393390e+03 -6.840641e-19 1.897151e-18   0.000000
3.393990e+03 8.471800e-19 1.994001e-18   0.000000
3.394590e+03 6.030307e-19 2.114507e-18   0.000000
3.395190e+03 5.085019e-19 2.041270e-18   0.000000
3.395790e+03 2.376048e-18 1.913468e-18   0.000000
3.396390e+03 2.213733e-18 1.855392e-18   0.000000
3.396991e+03 2.122003e-18 1.906190e-18   0.000000
3.397591e+03 5.350607e-19 2.012836e-18   0.000000
3.398191e+03 -9.558462e-19 1.847627e-18   0.000000
3.398791e+03 3.725929e-18 1.851904e-18   0.000000
3.399391e+03 1.144403e-18 1.878510e-18   0.000000
3.399991e+03 2.488863e-18 2.014207e-18   0.000000
3.400591e+03 2.352002e-18 2.065114e-18   0.000000
3.401191e+03 -2.280127e-18 1.821589e-18   0.000000
3.401792e+03 3.444996e-18 1.867314e-18   0.000000
3.402392e+03 8.750987e-19 1.827101e-18   0.000000
3.402992e+03 1.519618e-18 1.839320e-18   0.000000
3.403592e+03 4.252448e-18 1.945020e-18   0.000000
3.404192e+03 3.340533e-18 1.880638e-18   0.000000
3.404792e+03 -1.618431e-18 1.775995e-18   0.000000
3.405392e+03 -9.584489e-19 1.808092e-18   0.000000
3.405992e+03 -1.314715e-19 1.909575e-18   0.000000
3.406593e+03 -1.197780e-19 1.855050e-18   0.000000
3.407193e+03 1.187341e-18 1.850852e-18   0.000000
3.407793e+03 -7.136106e-19 1.800970e-18   0.000000
3.408393e+03 1.693900e-18 1.758345e-18   0.000000
3.408993e+03 -1.516401e-18 1.756322e-18   0.000000
3.409593e+03 -1.514872e-18 1.791898e-18   0.000000
3.410193e+03 3.610634e-18 1.849570e-18   0.000000
3.410793e+03 1.526121e-18 1.814097e-18   0.000000
3.411393e+03 -5.013600e-19 1.836946e-18   0.000000
3.411994e+03 1.615505e-18 1.875664e-18   0.000000
3.412594e+03 -9.192301e-19 1.828749e-18   0.000000
3.413194e+03 1.891756e-18 1.793128e-18   0.000000
3.413794e+03 -7.313136e-19 1.823560e-18   0.000000
3.414394e+03 -1.281480e-19 1.817627e-18   0.000000
3.414994e+03 -3.092815e-19 1.765589e-18   0.000000
3.415594e+03 1.986227e-18 1.868502e-18   0.000000
3.416194e+03 2.200988e-18 1.948988e-18   0.000000
3.416795e+03 2.311343e-18 2.015039e-18   0.000000
3.417395e+03 1.284973e-18 2.144344e-18   0.000000
3.417995e+03 9.078596e-19 1.923662e-18   0.000000
3.418595e+03 4.613983e-18 1.999343e-18   0.000000
3.419195e+03 2.420231e-18 2.173854e-18   0.000000
3.419795e+03 2.155235e-18 1.865144e-18   0.000000
3.420395e+03 -2.548866e-19 1.793927e-18   0.000000
3.420995e+03 -3.277850e-19 2.019768e-18   0.000000
3.421596e+03 6.708379e-21 2.164128e-18   0.000000
3.422196e+03 4.250336e-18 1.930749e-18   0.000000
3.422796e+03 1.525329e-18 1.862272e-18   0.000000
3.423396e+03 -1.149696e-19 1.901660e-18   0.000000
3.423996e+03 5.250855e-19 2.198661e-18   0.000000
3.424596e+03 9.163179e-19 2.182097e-18   0.000000
3.425196e+03 2.353269e-18 1.969919e-18   0.000000
3.425796e+03 -6.551138e-19 1.966195e-18   0.000000
3.426396e+03 1.618712e-18 1.977950e-18   0.000000
3.426997e+03 3.118508e-18 2.028602e-18   0.000000
3.427597e+03 3.008531e-18 2.224510e-18   0.000000
3.428197e+03 -3.406969e-19 2.176165e-18   0.000000
3.428797e+03 1.224968e-18 1.918114e-18   0.000000
3.429397e+03 2.429984e-18 2.021821e-18   0.000000
3.429997e+03 -9.824571e-20 2.004493e-18   0.000000
3.430597e+03 3.890042e-18 2.007404e-18   0.000000
3.431197e+03 2.801750e-18 2.209607e-18   0.000000
3.431798e+03 2.326484e-18 2.243043e-18   0.000000
3.432398e+03 -3.565440e-18 2.046892e-18   0.000000
