#  wl flux error bpmap
3.366985e+03 -3.672494e-18 2.772268e-18   0.000000
3.367585e+03 2.813240e-18 2.994201e-18   0.000000
3.368185e+03 8.592247e-18 3.467572e-18   0.000000
3.368785e+03 6.700025e-18 3.800834e-18   0.000000
3.369385e+03 4.989014e-18 3.875456e-18   0.000000
3.369985e+03 4.411263e-18 3.810215e-18   0.000000
3.370585e+03 2.095624e-18 3.420710e-18   0.000000
3.371185e+03 -1.077030e-18 3.907241e-18   0.000000
3.371786e+03 2.649133e-18 3.491776e-18   0.000000
3.372386e+03 5.143318e-19 3.197071e-18   0.000000
3.372986e+03 3.420430e-18 3.775307e-18   0.000000
3.373586e+03        nan        nan   0.000000
3.374186e+03 4.256991e-18 3.103581e-18   0.000000
3.374786e+03 6.016078e-19 2.945654e-18   0.000000
3.375386e+03 8.040814e-18 3.654397e-18   0.000000
3.375986e+03 1.951959e-18 3.387673e-18   0.000000
3.376586e+03 3.124162e-18 2.962992e-18   0.000000
3.377187e+03 5.785649e-18 3.060567e-18   0.000000
3.377787e+03 2.497617e-18 2.911794e-18   0.000000
3.378387e+03 4.368452e-18 3.536832e-18   0.000000
3.378987e+03 2.233452e-18 3.129016e-18   0.000000
3.379587e+03 4.022375e-18 2.659379e-18   0.000000
3.380187e+03 3.032372e-18 2.863653e-18   0.000000
3.380787e+03 1.184010e-19 2.775694e-18   0.000000
3.381387e+03 1.817991e-18 2.908299e-18   0.000000
3.381988e+03 3.975474e-18 3.273485e-18   0.000000
3.382588e+03 2.739572e-18 2.944316e-18   0.000000
3.383188e+03 7.098089e-18 2.606790e-18   0.000000
3.383788e+03 5.342575e-19 2.649256e-18   0.000000
3.384388e+03 4.863661e-18 2.768593e-18   0.000000
3.384988e+03 5.420137e-19 2.655921e-18   0.000000
3.385588e+03 -2.770943e-18 2.999715e-18   0.000000
3.386188e+03 2.047716e-18 2.914664e-18   0.000000
3.386789e+03 2.944391e-18 2.701342e-18   0.000000
3.387389e+03 2.013102e-18 2.571343e-18   0.000000
3.387989e+03 -6.399902e-19 2.525340e-18   0.000000
3.388589e+03 -3.563790e-19 2.484300e-18   0.000000
3.389189e+03 1.185458e-18 2.571237e-18   0.000000
3.389789e+03 6.041429e-18 2.823663e-18   0.000000
3.390389e+03 4.448532e-18 2.694111e-18   0.000000
3.390989e+03 2.523992e-18 2.532713e-18   0.000000
